,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
75,Building of ships and boats,238.5,241.5,216.8,169.5,166.0,164.1,192.2,170.5,191.2,190.4,299.1,169.5,165.2,143.4,206.7,267.7,229.2,220.2,187.8,199.4,287.7,235.5,180.9,175.1,239.0,229.0,245.7,269.6,235.2,224.7,
76,Manufacture of air and spacecraft and related machinery,1116.0,1441.0,1495.1,1015.8,718.0,723.9,577.9,696.3,951.9,771.7,727.8,603.5,740.3,668.4,666.3,718.9,537.2,491.1,346.7,351.4,576.8,509.6,440.0,466.8,540.4,467.3,513.4,531.8,479.2,485.8,
77,"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",239.2,237.1,221.1,165.8,118.5,127.8,187.8,181.4,170.1,144.1,154.5,126.3,123.8,209.1,210.2,148.4,132.7,116.4,82.9,85.7,122.3,117.4,109.5,114.7,124.2,111.4,121.3,122.0,116.5,119.3,
78,Furniture,3083.5,3276.6,2824.1,2592.5,2302.7,1851.7,2077.9,1884.8,1251.1,1924.4,1331.9,1669.9,1227.4,1189.5,1231.7,1376.4,1287.0,1160.8,894.7,797.4,850.8,777.1,739.3,729.3,727.8,745.0,824.5,822.8,851.1,835.3,
79,Other manufactured goods,894.0,1174.3,859.8,683.9,668.1,589.2,663.7,604.7,642.4,761.6,679.6,837.8,610.5,1011.5,859.2,793.2,724.2,651.5,491.8,499.5,588.6,535.3,510.2,505.5,508.2,519.8,578.0,587.6,620.0,607.3,
80,Repair & maintenance of ships,13.6,14.1,13.7,14.2,14.5,14.7,15.2,14.6,14.9,15.1,15.0,14.6,13.7,13.8,13.6,13.1,12.6,12.4,12.5,11.6,11.1,10.2,10.9,10.2,10.2,10.9,11.2,11.5,11.6,11.4,
81,Repair & maintenance of aircraft  & spacecraft,35.4,41.2,38.7,41.3,41.7,43.4,46.3,42.2,45.3,48.0,48.6,48.1,42.1,44.4,43.0,42.0,39.0,37.8,44.5,37.0,38.7,34.9,38.6,38.5,34.8,37.1,38.4,37.9,38.1,38.0,
82,Rest of repair; Installation,361.3,376.1,366.4,377.9,387.1,390.0,401.9,390.1,396.6,400.7,395.3,381.4,355.8,357.2,346.2,332.9,319.4,308.9,310.6,304.9,285.0,267.3,269.7,265.8,260.2,269.1,277.8,276.1,276.2,272.0,
83,Electricity production - gas,2179.4,2300.0,2827.7,14844.9,21021.2,26061.0,34188.4,42800.5,44708.4,53353.6,53175.4,51841.4,54471.6,53244.9,56951.3,55216.6,51889.7,58853.4,63480.5,60362.0,63345.2,50818.9,33893.4,32259.1,34916.8,34262.6,50122.2,47703.4,45608.7,45388.6,
84,Electricity production - coal,187543.1,188202.9,175953.2,146389.2,138240.1,130606.9,122944.9,105628.9,109061.5,92135.9,103710.2,115441.2,108895.3,119229.0,115561.0,118050.9,129615.0,118922.0,108776.8,90231.4,94281.2,94685.0,125875.2,118759.5,94199.1,76919.7,37845.6,30275.1,26980.2,19698.7,
85,Electricity production - nuclear,48.5,50.0,47.2,52.0,54.4,48.4,52.6,76.5,72.4,82.4,77.8,77.4,77.0,78.4,90.0,86.5,100.2,92.9,101.9,86.0,89.4,78.1,81.9,81.7,104.5,94.6,92.6,89.4,88.4,97.6,
86,Electricity production - oil,13256.3,9066.2,8729.4,8843.6,6514.1,5983.1,5227.2,1270.2,712.6,1066.0,1019.0,1343.3,859.7,812.0,624.1,1130.6,1418.2,605.8,1102.1,600.6,269.5,156.1,167.3,143.2,156.5,138.3,137.0,127.9,121.6,123.3,
87,Electricity production - other,739.7,769.8,955.7,1192.8,1651.9,1782.3,1878.6,2311.6,3108.9,3534.8,4011.3,4553.0,4769.2,5165.6,5673.9,5828.1,6065.8,6450.3,7154.1,7982.5,8288.6,8294.0,8948.5,8938.0,9900.0,11763.9,13445.6,13470.2,14799.6,16386.3,
