,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,"Manufacture of grain mill products, starches and starch products",565.8,530.4,498.4,506.7,550.3,624.3,675.5,635.9,648.1,661.2,690.9,976.0,791.7,471.6,791.9,361.1,654.0,644.0,608.6,577.0,616.5,615.5,605.9,611.0,619.5,586.4,611.6,642.3,662.3,680.2,
35,Manufacture of bakery and farinaceous products,1142.4,1103.5,1116.1,1009.7,1029.6,1106.9,1179.7,1128.1,1178.6,1453.8,1069.4,1375.8,1376.2,1399.9,1275.0,1159.6,1372.2,1356.2,1236.1,1152.9,1216.5,1208.4,1170.3,1166.7,1215.1,1190.3,1245.1,1295.1,1338.2,1363.0,
36,Manufacture of other food products,1876.6,1937.6,2051.0,1860.6,1780.8,1763.2,1826.5,2005.2,2048.0,2677.1,3125.5,2366.9,1362.3,1677.4,2201.0,2375.7,1388.8,1398.9,1333.7,1293.8,1377.7,1385.7,1364.9,1404.9,1443.9,1351.5,1370.9,1444.4,1477.7,1494.0,
37,Manufacture of prepared animal feeds,551,644.9,699.5,716.0,748.7,668.0,812.2,701.8,641.8,614.9,568.3,591.4,742.7,519.6,550.6,385.1,431.6,446.1,405.9,375.3,401.7,399.3,390.5,399.6,415.8,403.6,388.2,398.1,404.2,404.2,
38,"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt",1928.1,1946.9,1892.4,1824.8,1861.0,1806.2,1697.8,1515.5,1273.5,1214.5,1176.9,1309.4,1613.8,1823.9,1451.6,1414.8,1478.6,1476.3,1425.3,1162.9,1249.7,1255.7,1257.3,1286.8,1328.1,1295.2,1303.2,1391.9,1439.9,1463.6,
39,Manufacture of soft drinks: production of mineral waters and other bottled waters,244.6,227.2,223.1,208.7,206.4,208.4,188.6,169.7,167.8,166.8,189.7,201.2,183.6,165.1,169.5,182.4,192.4,188.1,169.6,136.7,136.9,134.2,128.2,125.3,129.3,123.4,123.8,127.7,128.2,130.2,
40,Tobacco products,71.7,83.7,89.0,82.7,95.0,88.8,103.5,90.9,73.7,74.2,122.4,38.3,66.8,27.2,40.5,30.7,30.2,29.7,27.2,25.9,25.7,26.0,24.2,23.3,25.0,24.5,24.4,25.5,26.4,27.1,
41,Textiles,2271.4,2640.5,2581.5,2246.0,1795.4,1752.5,1576.7,1593.9,1768.9,1868.8,2014.3,2047.6,1953.5,1992.1,1947.0,2021.3,1881.7,1670.3,1709.4,1334.0,1258.8,1301.8,1201.4,1191.3,1230.7,1041.5,1050.5,1048.0,1051.3,1026.8,
42,Wearing apparel,730.5,920.7,869.1,729.5,624.1,489.0,484.3,366.2,361.7,263.1,350.6,338.7,269.0,278.2,207.9,232.7,303.7,282.8,266.2,461.3,431.1,446.0,402.3,403.8,409.3,310.8,313.7,315.7,320.3,309.1,
43,Leather and related products,175.7,178.6,164.8,137.7,103.8,114.3,102.8,84.4,70.7,78.5,114.8,92.4,98.0,86.6,58.7,49.1,68.5,60.4,58.6,54.1,49.9,52.0,44.6,44.0,46.5,36.1,35.5,36.2,37.5,36.8,
